項目ID,画面ID,前提条件,入力する値,手順,期待結果
TS-001,S-01,なし,出生日=未入力,「保存してはじめる」を押下する,エラーが表示され、{出生日=未入力} のため保存処理は行われない
TS-002,S-01,なし,"出生日=2025-01-10, 出産予定日=未入力",各項目を入力後「保存してはじめる」を押下する,{出生日=2025-01-10}が保存され、カレンダー画面(S-02)へ遷移する
TS-003,S-01,なし,"出生日=2025-01-10, 出産予定日=2025-03-01",各項目を入力後「保存してはじめる」を押下する,"{出生日=2025-01-10, 出産予定日=2025-03-01} が保存され、S-02 へ遷移する"
TS-004,S-01,なし,修正月齢表示上限=24ヶ月,出生日・予定日を入力し、「保存してはじめる」を押下する,{修正月齢表示上限=24ヶ月} が保存され、S-02 カレンダー表示に反映される
TS-005,S-01,なし,年齢表示形式=md,出生日と年齢形式を入力し、「保存してはじめる」を押下する,{年齢表示形式=md} が保存され、月齢表示が md 表記となる
TS-006,S-01,なし,年齢表示形式=ymd,出生日と年齢形式を入力し、「保存してはじめる」を押下する,{年齢表示形式=ymd} が保存され、月齢表示が ymd 表記となる
TS-007,S-01,なし,出産予定日=未来日（出生日より後）,出生日と予定日を入力し、「保存してはじめる」を押下する,{出産予定日=未来日} として保存され、S-02 に遷移する（未来日を不正とする仕様はないため）
TS-008,S-01,なし,出産予定日=過去日（出生日より前）,出生日と予定日を入力し、「保存してはじめる」を押下する,{出産予定日=過去日} として保存され、S-02 に遷移する（修正月齢ロジック上は有効）
TS-009,S-01,初回起動状態,全項目に値を入力,アプリ再起動後に S-01 が再表示されないことを確認,初回セットアップが完了したため S-02 が表示される（{入力値} が復元された状態）
TS-010,S-01,なし,"出生日=2025-01-10, 出産予定日=null, 上限=null",すべての値を入力後保存する,{上限=null（制限なし）} が保存され、修正月齢が制限なく表示される
項目ID,画面ID,前提条件,入力する値,手順,期待結果
TS-011,S-02,"初回セットアップが完了し S-02 が表示されている","なし","前月ボタン（＜）を押下する","表示月が1か月前に変更され、月内全セルの実月齢・修正月齢が再計算され表示される"
TS-012,S-02,"初回セットアップが完了し S-02 が表示されている","なし","翌月ボタン（＞）を押下する","表示月が1か月後に変更され、全セルの実月齢・修正月齢が再計算され表示される"
TS-013,S-02,"今日の日付が含まれる月以外を表示している","なし","「今日へ」ボタンを押下する","今日を含む月にジャンプし、当日の枠に今日ハイライトが表示される"
TS-014,S-02,"出産予定日が未入力","なし","対象月の任意の日付セルを確認する","修正月齢は常に非表示で、実月齢のみ表示される（予定日未入力のため）"
TS-015,S-02,"実月齢と修正月齢が同じ日付を含む月を表示","なし","該当セルを確認する","修正月齢は非表示となり、実月齢のみ表示される（同値表示禁止ルールによる）"
